Probesets	cold_green_6h	cold_green_24h	cold_roots_6h	cold_roots_24h	osmotic_green_6h	osmotic_green_24h	osmotic_root_6h	osmotic_root_24h	salt_green_6h	salt_green_24h	salt_root_6h	salt_root_24h	drought_green_6h	drought_green_24h	drought_root_6h	drought_root_24h	genotox_green_6h	genotox_green_24h	genotox_root_6h	genotox_root_24h	oxidative_green_6h	oxidative_green_24h	oxidative_root_6h	oxidative_root_24h	UV-B_green_6h	UV-B_green_24h	UV-B_root_6h	UV-B_root_24h	wounding_green_6h	wounding_green_24h	wounding_root_6h	wounding_root_24h	heat_green_3+3h	heat_green_3+21h	heat_root_3+3h	heat_root_3+21h	diurnal_04h.CEL	diurnal_08h.CEL	diurnal_12h.CEL	diurnal_16h.CEL	diurnal_20h.CEL	diurnal_24h.CEL	Sulfate_2h	Sulfate_8h	Sulfate_24h	Pinf_6h	Pinf_24h	DC3000_02h	DC3000_24h	ABA_3h	ABA_30h	ACC_3h	ACC_30h	BL_3h	BL_30h	GA_3h	GA_30h	IAA_3h	IAA_30h	MJ_3h	MJ_30h	ZEA_3h	ZEA_30h	cell_cycle_aph_6h	cell_cycle_aph_8h	cell_cycle_aph_10h	cell_cycle_aph_12h	cell_cycle_aph_14h	cell_cycle_aph_16h	cell_cycle_aph_19h
256299_at	0.478071	-3.2473335	0.19442162	-1.6490206	-1.5736613	-2.6770027	0.12063847	-0.55589527	-0.8166551	-2.365476	1.4399121	0.94827664	-0.50721353	0.17534678	1.3245527	0.14379078	0.4192939	0.04718304	0.5439975	0.22285986	0.3482992	-0.5202539	0.26629126	-0.42011595	-0.5314884	0.303974	-0.095672324	-0.8240694	0.27401298	-0.13942869	0.5432415	0.19362499	-0.74319005	0.22536062	0.005427578	0.15675966	1.6521338	1.91834	2.0977087	1.8481555	1.5636361	0.43551862	0.06764386	-0.15989205	0.061922964	-0.5841632	-0.066378295	0.08169579	-1.9534594	-2.6547825	-0.022601858	0.29868886	0.51924455	0.41280624	0.18361858	0.6369502	0.36146042	0.6389315	0.5170608	-0.66018933	0.11334059	-0.21344514	-0.2693763	0.10618475	0.16359697	0.028678352	0.23679565	0.11733474	0.2822382	0.5317428
252970_at	-1.2980479	-2.2130995	0.21947683	0.45704255	-1.5681514	-2.3177314	0.2632317	0.21232527	-1.2735386	-2.5714464	0.123427056	0.07528499	-0.648928	-0.5132616	0.14507724	0.15127474	0.101902224	-0.5154124	0.2941943	0.13757266	-0.022002226	-0.42150494	0.18906602	0.2181851	-1.5137368	-0.33790627	-0.006307793	0.0294253	-0.6681689	-0.35253525	0.23178183	0.25833708	-0.43345627	-0.3429686	0.114277236	0.19723259	0.35090378	0.7712689	1.0712398	3.0239277	2.294291	0.1773709	0.3094743	0.19981086	0.31122762	-1.1604439	0.21743022	-0.4115513	-1.7565958	-0.65837646	-0.04329242	0.029953586	0.3133243	1.9966966	0.9527505	0.19743659	0.34702402	2.3360798	2.9048064	-0.36468327	-0.28265482	-0.314399	0.029697303	0.24848008	0.0479978	0.01484426	0.10936046	-0.01665742	0.25359538	0.09875215
259773_at	-1.2768455	-2.4176857	0.3218935	0.18575379	-1.4417989	-1.4614005	0.1627293	-0.1539905	-0.39120057	-1.57541	0.26642793	0.052807488	0.058412746	-0.5361362	0.25827828	-0.10142508	0.46731448	-0.40138987	0.22275598	0.12826784	0.5179993	-0.5334108	0.29407743	0.22713548	-2.8114502	-1.3592145	0.2140081	0.1341647	-0.114194244	-0.9127455	0.38303697	0.048011344	0.6562026	-0.06495235	0.0999454	0.43162715	1.0393041	1.0393041	1.0642067	1.8942994	1.1695472	0.16092917	0.1048998	0.16428153	0.23607235	-2.1473396	-0.63155997	-0.17360972	-3.1183026	0.055727918	0.04479773	-0.10221112	0.31598896	0.8317644	0.5713489	0.122376524	-0.024492176	2.0426936	3.466324	-0.16204876	-0.26567504	0.24854755	0.16489583	0.31068414	0.2672613	0.291354	0.30807292	0.38803858	0.5055138	0.23940517
255822_at	-0.6086334	-2.5982914	0.49900404	-0.4835755	-2.9788723	-3.12021	0.087999776	-0.06382243	-1.7279344	-3.1976573	0.1507459	0.25319046	-0.08082754	0.44714937	0.5380777	0.17866366	0.65203184	0.005746592	0.32717705	-0.112147994	0.45390645	-0.5183426	0.40704218	0.30659622	-1.353494	0.12968442	0.15701392	-0.15918787	0.1318663	-0.02911431	0.6497556	0.08250204	-0.1728349	0.1350887	0.84071875	-0.18595798	1.1013912	1.1971877	1.7058265	1.2911105	1.2212676	0.60338247	0.4584147	0.47446486	0.46787414	-0.7043083	0.25686374	0.054601274	-2.692259	-1.1261176	0.26106218	-0.822412	0.31044132	0.98562896	0.3595298	0.5147269	0.3642369	0.94677716	0.8574418	-0.6695278	0.21496746	0.36173454	0.29951182	0.33475682	0.334545	0.31629875	0.3889374	0.47725838	0.43602604	0.37530202
260221_at	0.14730173	-1.746495	0.9128127	-0.10395265	-3.1392329	-3.5321193	0.24777648	-0.04286206	-1.3122424	-2.5109107	0.2770343	-0.09052978	-0.10396608	0.60351944	0.23110855	-0.01591652	0.24426264	-0.1814471	0.46650195	0.052360162	0.45596972	-0.24124011	0.33437923	0.038262054	-1.5877197	-0.004521232	0.36295757	0.2315129	0.1645035	-0.11775045	0.30859762	0.19791721	0.4159042	0.14738025	0.2208869	0.06876406	1.3724523	1.5261705	1.4524109	1.0509709	1.0724431	0.013476546	0.23604734	0.28802812	0.34354043	-0.5801971	-0.443722	-0.43192863	-3.1611748	-1.6142715	0.47604868	0.22552826	0.7172342	0.49583492	0.56562096	0.75792944	0.51519215	0.5521594	0.66007245	-1.8071251	0.53933656	0.19076622	0.35770243	0.44203994	0.44525087	0.3835083	0.42008355	0.54730976	0.4387992	0.55365455
252965_at	-2.3293722	-2.1813483	0.2928613	0.54515314	-3.0936596	-3.5277033	0.3897634	0.40459648	-0.92482835	-1.5349259	0.2197166	0.4392001	-0.15221928	0.114221565	0.39767158	0.50672513	0.21628626	-0.08330304	0.31657368	0.44948184	0.36712512	-0.039486095	0.08845749	0.45681986	-1.410396	0.06302531	0.27643102	0.35466367	-0.18924636	-0.2830731	0.30839854	0.3488112	0.09803246	-0.36627322	0.33995444	0.43900332	1.1997313	1.3834587	1.6090854	1.8278211	1.3253354	0.32580504	0.37675226	0.085820146	0.28093997	-1.1774427	-0.43926224	-0.28335783	-2.6518548	-1.3601577	0.1793184	0.09039054	0.2967939	1.1154642	1.0026373	0.5008951	0.37962693	0.4218512	1.2396265	-0.95819694	-0.528658	0.051094268	-0.104079895	0.3876476	0.37814015	0.36251533	0.32575533	0.3757325	0.36374885	0.2998838
259790_s_at	-1.02871	-2.0598977	0.25525397	0.42359212	-2.6773922	-4.1467853	0.24351738	0.20545594	-0.6497264	-1.8437929	0.120075114	0.30922818	0.18199527	0.07674829	0.24343207	0.4405297	0.4768268	0.16303606	0.3045425	0.36826646	0.47864416	0.003960814	0.25750813	0.39205164	-1.7707477	-0.18530756	0.25939152	0.3839112	0.25543252	-0.20725721	0.23679137	0.34817523	0.3089223	0.49634594	0.28411087	0.36830586	0.21786927	0.5839434	1.1065805	1.4404325	0.6498169	-0.28695297	0.32164603	0.23082162	0.34742352	-1.1271951	-0.07038953	-0.57058984	-2.8244922	-1.2628303	-0.5379835	0.1245136	0.1732688	1.5113982	0.99248457	0.48684645	0.21277419	1.5417581	2.2613835	-0.71921724	-1.0144572	0.026422968	0.32800853	0.32478124	0.3728505	0.35604873	0.42620373	0.37290898	0.3270581	0.36042973
257506_at	-1.0619148	-1.5417398	0.23824619	0.49198505	-2.487127	-4.038985	0.20775956	0.3072973	-0.33584043	-2.1665606	0.41384444	0.22956432	0.1839268	-0.14717153	0.1426402	0.18570894	0.24264242	-0.31976375	0.07893729	0.19928764	0.4226934	-0.3210692	0.07100095	0.1727627	-1.5591744	-0.23551327	0.37729454	0.10792889	-0.15502098	0.016195064	0.29557782	0.21270739	0.118928	0.15666339	0.34773055	0.079409294	0.12689935	0.25915125	1.0642546	1.8655809	0.69089204	-0.30535445	0.23840173	0.19100331	0.43325853	-2.1930676	-0.1494182	-0.30086586	-2.2979944	-0.32290888	-0.1433134	0.047846735	0.12184859	1.9873047	0.9048253	0.29507717	0.19959414	1.982374	2.9122055	-0.20709676	-0.3568095	0.008768606	0.19089572	0.2655997	0.3041766	0.23370299	0.3157783	0.12913546	0.40147683	0.17592598
259783_at	-0.70668423	-1.4180692	0.37488332	0.28266734	-3.1680536	-3.9554634	0.40401748	0.3787282	-0.5022861	-2.3876371	0.4252815	0.22921841	0.34411892	-0.13047992	0.27542493	0.2162892	0.6058625	-0.07043817	0.11400076	0.23764575	0.9633643	-0.05578725	0.26997674	0.13707487	-2.0843775	-1.0222106	0.20524035	0.2762864	0.28186908	-0.1578142	0.25932753	0.23920345	0.023301411	0.10351292	0.2903408	0.14086965	0.47066978	0.47066978	0.75791574	1.0632821	0.6025145	-0.26092118	0.21238928	0.26563868	0.37329882	-1.5986873	-0.48635805	0.14275628	-2.954449	-0.20684054	0.19501303	0.15741815	0.3379394	1.0741078	1.0790018	0.428333	0.21069585	1.4191701	2.5704632	-0.013689841	-0.15030466	0.06000854	0.22283152	0.34812975	0.2773483	0.2832066	0.4406234	0.24148299	0.2765135	0.27062386
259787_at	-1.2471633	-2.924235	0.3198407	0.41432634	-2.1587827	-3.668344	0.2594824	0.26627278	-1.1518196	-3.073614	0.24081239	0.21293075	0.6022253	-0.07606502	0.20521258	0.23135643	0.41328502	-0.6229801	0.27973506	0.12736177	1.0212284	-0.8541285	0.19800413	0.21768843	-1.8186368	-1.0372736	0.14832892	0.19785988	-0.1691122	-1.2099521	0.2799737	0.28325215	0.43442574	0.10927607	0.33180034	0.2469164	0.52292365	0.82250917	0.9122391	2.0784276	1.5299989	0.54095125	0.3309373	0.25437117	0.3133111	-1.148619	0.12056084	-0.04820183	-1.8301333	0.06813748	0.23971984	0.11255174	0.39333114	0.6823691	0.64930004	0.2876613	0.32528076	1.010007	1.773667	0.14618857	0.2799258	0.26318285	0.17781608	0.24781808	0.36319762	0.34074718	0.31979463	0.28548142	0.32923004	0.2758278
249383_at	-0.4988674	-2.6374278	0.33346313	0.2861426	-1.838642	-3.3308525	0.39819536	0.48752543	-1.1980665	-3.0913138	0.27231383	0.18389232	0.1898878	-0.016892899	0.28955925	0.08131813	0.52946764	0.15121086	0.37339547	0.12951608	0.43774423	-0.8052764	0.28277317	0.11849168	-1.404572	-0.6366578	0.18919355	-0.037768938	-0.2595696	-0.14071709	0.20255575	0.08481321	-1.3307508	-0.36215413	0.3912006	0.17699818	-0.022407515	0.26448607	1.3627245	3.8194187	2.433306	0.86880577	0.18230213	0.21164908	0.33965236	-1.3038716	0.121575944	0.12588081	-1.6914233	0.23506682	0.22918203	0.18558672	0.21253665	0.28097132	0.27792534	0.33033723	0.2655355	0.43285292	0.4641931	0.37661305	0.2482515	0.2745392	0.20203187	0.28010342	0.14945383	0.23102047	0.14727573	0.11282575	0.20085967	0.1506104
259751_at	-1.3004448	-1.8158327	-0.07194771	0.032418326	-0.49081397	-1.8531021	1.1120558	1.4144509	-0.66216564	-3.2106745	0.7375855	1.4248997	0.54873	0.36993286	0.07237681	-0.061911058	0.55646384	-0.2524972	-0.18119656	-0.6110618	0.2676964	-0.9551313	0.63129395	0.86033124	-0.180152	-0.19006257	0.17191191	1.3051839	-0.081731424	0.4356395	1.0371598	0.8070721	0.15429668	-0.05976077	-0.3502982	0.34448123	-1.6937991	-0.63546646	0.8154506	3.861378	2.6243854	-0.38838416	-0.14599857	0.23050919	-0.15836065	-0.7377882	0.014343533	-0.45654002	-1.0344806	0.1152817	-0.45858598	0.9643703	-0.03759749	-1.3759781	-0.60641277	-0.69166994	-0.31081024	1.5223031	-0.5756847	-0.6008521	-0.72342545	0.7991073	0.3843222	-0.15310204	-0.033475008	-0.099854365	-0.16054884	0.31647947	-0.18686107	-0.33745083
