YORF	Cell-cycle Alpha-Factor 1	Cell-cycle Alpha-Factor 2	Cell-cycle Alpha-Factor 3	Cell-cycle Alpha-Factor 4	Cell-cycle Alpha-Factor 5	Cell-cycle Alpha-Factor 6	Cell-cycle Alpha-Factor 7	Cell-cycle Alpha-Factor 8	Cell-cycle Alpha-Factor 9	Cell-cycle Alpha-Factor 10	Cell-cycle Alpha-Factor 11	Cell-cycle Alpha-Factor 12	Cell-cycle Alpha-Factor 13	Cell-cycle Alpha-Factor 14	Cell-cycle Alpha-Factor 15	Cell-cycle Alpha-Factor 16	Cell-cycle Alpha-Factor 17	Cell-cycle Alpha-Factor 18	Cell-cycle cdc15 10m	Cell-cycle cdc15 30m	Cell-cycle cdc15 50m	Cell-cycle cdc15 70m	Cell-cycle cdc15 80m	Cell-cycle cdc15 90m	Cell-cycle cdc15 100m	Cell-cycle cdc15 110m	Cell-cycle cdc15 120m	Cell-cycle cdc15 120m	Cell-cycle cdc15 130m	Cell-cycle cdc15 140m	Cell-cycle cdc15 150m	Cell-cycle cdc15 160m	Cell-cycle cdc15 160m	Cell-cycle cdc15 170m	Cell-cycle cdc15 180m	Cell-cycle cdc15 190m	Cell-cycle cdc15 200m	Cell-cycle cdc15 210m	Cell-cycle cdc15 220m	Cell-cycle cdc15 240m	Cell-cycle cdc15 250m	Cell-cycle cdc15 270m	Cell-cycle cdc15 290m	Cell-cycle Elutriation 0.0hrs	Cell-cycle Elutriation 0.5hrs	Cell-cycle Elutriation 1.0hrs	Cell-cycle Elutriation 1.5hrs	Cell-cycle Elutriation 2.0hrs	Cell-cycle Elutriation 2.5hrs	Cell-cycle Elutriation 3.0hrs	Cell-cycle Elutriation 3.5hrs	Cell-cycle Elutriation 4.0hrs	Cell-cycle Elutriation 4.5hrs	Cell-cycle Elutriation 5.0hrs	Cell-cycle Elutriation 5.5hrs	Cell-cycle Elutriation 6.0hrs	Cell-cycle Elutriation 6.5hrs	Cell-cycle CLN3 induction 30m	Cell-cycle CLN3 induction 40m	Cell-cycle CLB5 induction 40m	Sporulation 0	Sporulation 30m	Sporulation 2h	Sporulation 5h	Sporulation 7h	Sporulation 9h	Sporulation 11h	Sporulation 2h (v. 5h)	Sporulation 7h (v. 5h)	Sporulation 11h (v. 5h)	Sporulation ndt80- Early	Sporulation ndt80- Middle	Sporulation ndt80over	Diauxic Shift 19.0g/L	Diauxic Shift 18.7g/L	Diauxic Shift 17.6g/L	Diauxic Shift 14.0g/L	Diauxic Shift 7.5g/L	Diauxic Shift 0.2g/L	Diauxic Shift 0g/L
YGR221C	-0.42	-0.01	 0.42	 0.70	 0.28	-0.17	-0.14	-0.62	-0.43	-0.06	-0.06	 0.65	 0.53	-0.10	-0.25	-0.25	-0.10	-0.56	-0.76	 0.97	 0.97	-0.62	-0.58	-0.79	-0.38	-0.89	-0.76	-0.71	 0.11	 0.72	 1.01	 0.58	 0.15	 0.50	 0.12	-0.67	-0.18	-0.84	-0.54	 0.33	-0.43	-0.25	-0.45	-1.06	-1.12	-0.92	 0.12	-0.23	 0.36	 0.18	 0.37	 0.19	 0.37	-0.06	-0.43	-0.89	 0.26	 1.12	 1.08	-0.42	-0.45	 0.65	 0.46	-0.12	 0.14	-0.27	-0.69	-0.30	-0.74	 0.03	 1.06	 0.82	-0.79	-0.18	-0.01	 0.08	-0.32	-0.47	 0.58	-0.25
YKR078W	-0.01	 0.18	-0.40	-0.36	-0.12	-0.27	-0.15	-0.01	 0.16	-0.09	 0.04	-0.06	-0.03	-0.29	-0.18	 0.01	-0.18	-0.04																										-0.76	-0.12	 0.03	-0.12	-0.01	 0.18	-0.18	-0.30	-0.36	-0.25	-0.04	-0.20	-0.25	-0.23	 0.19		-0.22	-0.18	 0.12	 0.10	 0.58	 0.86	 0.82	 0.88	-0.60	 0.41	 0.04	 0.10	 0.34	 0.82	 0.23	-0.09	 0.20	-0.18	-0.27	 0.19	-0.25
YJR099W	 0.03	-0.20	 0.04	-0.27	 0.06	-0.42	 0.24	-0.12	-0.04	-0.23	-0.07	-0.23	-0.04	-0.45	-0.14	-0.36	-0.04	-0.29	-0.03	-0.17	-0.04	-0.03	-0.15	 0.23	-0.40	 0.29	-0.01	 0.11	 0.64	-0.04	 0.77	 0.01	 0.23	 0.32	-0.17	 0.04	-0.27	 0.32	-0.04	-0.40	 0.51	 0.58	 0.82	-0.58	-0.45	-0.45	-0.67	-0.67	-0.76	-0.64	-0.42	-0.18	-0.45	-0.29	 0.14	 0.10	-0.14	 0.20	 0.26	 0.84	-0.45	 0.37	 0.59	 1.43	 3.11	 2.49	 2.44	-0.62	 1.51	 0.96	 0.83	 1.51	 2.46	 0.00	 0.01	 0.37	 0.20	 0.28	 0.88	 0.32
YJL068C	-0.14	-0.04	 0.03	 0.34	 0.18	 0.38	 0.00	-0.09	-0.15	-0.27	-0.22	-0.42	-0.17	-0.45	-0.25	-0.38	-0.49	-0.42	-0.29	-0.69	-0.56	 0.07	 0.04	 0.06	-0.17	-0.01	 0.33	 0.34	-0.01	-0.03	 0.44	 0.39	 0.10	 0.48	 0.52	 0.25	 0.03	 0.34	 0.30	 0.77	 0.44	 0.43	 0.80	 0.54	 0.37	 0.06	-0.01	-0.67	-0.49	-0.47	 0.00	 0.25	 0.14	 0.01	 0.50	 0.60	 0.64	 0.29	-0.20	-0.34	-0.20	 0.50	 0.23	 0.58	 1.50	 0.89	 1.02	-0.36	 0.91	-0.01	 0.45	 0.55	 1.61	-0.04	 0.04	 0.49	 0.34	 0.26	 0.96	 0.83
YDR284C	-0.47	-0.22	-0.17	 0.18	-0.27	 0.14	-0.34	-0.09	-0.09	 0.06	 0.07	-0.38	-0.07	-0.40	-0.36	-0.25	-0.20	-0.18	-0.34	-0.42	-0.40	 0.45	 0.44	 0.03	 0.56	 0.08	 0.56	 0.55	 0.03	 0.64	 0.48	 0.74	 0.53	 0.80	 0.73	 0.16	 0.29	 0.14	 0.80	 1.05	-0.07	 0.32	 0.04	 0.11	 0.12	 0.49	-0.86	-0.32	-0.15	 0.07	 0.08	 0.01	-0.06	 0.12	 0.11	 0.04	 0.15	 0.44	 0.61	-0.10	 0.01	 0.97	 0.70	-0.36	-0.25	-0.10	-0.04	 0.69	-0.34	-0.27	 1.29		-0.30	-0.09	-0.14	 0.75	 0.20	-0.03	 0.61	-0.29
YDR357C	-0.23	 0.79	 0.06		-0.04	-0.07	 0.07	-0.03	-0.20	-0.30	-0.38	-0.14	 0.16	-0.45	 0.18	-0.29	 0.06	-0.43	 0.60	 0.44	 0.38	-0.07	 0.08	-0.32	-0.04	 0.29	-0.42	 0.69	 0.23	-0.06	 0.11	 0.01	-0.42	-0.06	-0.29	-0.18	-0.58	 0.14	-0.18	-0.22	 0.70	 0.19	 0.63	-0.07	-0.34	-0.07	-0.07	-0.25	-0.38	-0.40	-0.20	-0.22	-0.43	-0.15	-0.14	-0.01	-0.23	-0.20		-0.10	-0.12	-0.25	 0.51	 0.43	 0.81	 0.74	 0.82	-0.09	 0.30	 0.03	 0.58	 1.11	 1.55	-0.03	 0.21	 0.53	 0.30	-0.25	 0.26	 0.57
YNR016C	-0.07	-0.60	-0.15	 0.01	 0.01	-0.43	-0.38	-0.51	-0.12	-0.67	-0.20	-0.25	-0.23	-0.25	 0.07	-0.18	-0.25	-0.47																										-1.25	-0.60	-0.86	-0.20	-0.30	-0.36	 0.11	-0.14	 0.08	 0.28	-0.45	 0.14	-0.12	 0.38	 0.79	 0.69	 0.07	-0.69	 0.00	-0.34	-0.34	-0.49	-0.60	-0.45	 0.01	-0.34	-0.79	-0.40	-0.43	-2.25	 0.12	 0.04	-0.20	-0.27	-0.67	-1.79	-0.81
YLR414C	 0.21	 0.14	-0.69	-0.64	-0.76	-0.10	-0.34	-0.42	-0.45	 0.16	-0.01	-0.01	-0.32	-0.54	-0.45	-0.69	-0.20	-0.25	-0.12	 0.20	-0.20	-0.04	-0.09	-0.36	 0.26	-0.56	-0.23	-0.27	-0.07	 0.44	 0.08	 0.28	 0.58	-0.18	 0.75	-0.49	 0.01	-0.34	 0.58	 0.64	-0.22	-0.36	-0.27	 0.07	-0.49	-0.47	-0.64	-0.29	-0.14	-0.29	-0.14	-0.42	-0.07	 0.56	 0.26	 0.37	 0.29	-0.36	-0.47	 0.00	 0.10	-1.36	-1.69	-2.00	-2.40	-1.94	-2.74	 0.12	-0.60	-1.36	-1.09	-1.36	-0.67	 0.04	-0.09	 0.58	 0.23	-0.09	 0.29	-0.04
YPR198W	 0.06	-0.20	 0.26	-0.23	 0.12	-0.09	 0.26	-0.23	-0.10	-0.40	-0.45	-0.51	-0.17	-0.60	-0.03	-0.38	-0.04	-0.32	 0.03	-0.15	 0.12	 0.39	 0.70	-0.22	 0.19	-0.29	 0.58	-0.92	 0.03	 0.18	 0.12	 0.11	 0.06	 0.19	-0.60	-0.22	 0.58	-0.12	 0.63	 0.44	-0.18	-0.38	-0.12	-0.49	-0.67	-0.67	-0.38	-0.47	-0.64	-0.54	-0.79	-0.30	-0.49	-0.38	-0.06	-0.47	-0.22	-0.18	 0.41	-0.47	 0.00	 0.03	-0.14		-0.56	-0.04	-0.74	-0.14	 0.56	 0.01	-0.34	-0.89	-0.76	 0.06	 0.24	 0.57	-0.01	 0.29	-0.25	 0.40
YPL094C	-0.14	-0.60	-0.69	-0.34		-0.51	-0.06	-0.56	-0.34	-0.17	-0.14	-0.29	-0.18	-0.42	-0.18	-0.47	-0.69	-0.42	-0.20	-0.76	-0.76	-0.47	-0.03	-0.22	-0.38	-0.25	 0.06	-0.42	-0.34	-0.45	-0.42	-0.34	 0.08	-0.67	-0.12	-0.38	 0.10	-0.34	 0.26	-0.12	-0.51	-0.64	-0.60	-0.62	-0.51	-0.17	-0.04	-0.17	 0.15	-0.06	 0.45	 0.32	 0.55	-0.47	 0.08	-0.17	 0.10	-0.09	-0.47	-0.62	-0.42	-1.51	-0.36	-0.97	-1.60	-1.15	-1.18	-0.03	-0.79	-0.81	-0.76	-0.74	-0.15	 0.16	-0.10	 0.20	-0.38	-0.47	-0.17	-0.64
YMR037C	-0.60	-0.36	-0.22	-0.84	 0.03	-0.15	-0.06	-0.36	-0.42	-0.42	-0.38	-0.29	-0.27	-0.22	-0.20	-0.25	-0.40	-0.27	-0.12	-0.25	-0.17	 0.38	-0.49	 0.20	 0.34	-0.04	-0.64	-0.30	 0.01	-0.22	 0.06	-0.10	 0.23	 0.38	 0.57	 0.15	-0.01	-0.07	-0.27	-0.23	-0.07	-0.25	-0.32	 0.19	-0.47	-0.40	 0.03	-0.40	 0.03	-0.23	 0.20	 0.25	 0.10	-0.23	 0.07	 0.16	-0.20	 0.15	 0.40	 0.04	-0.18	 0.73	 0.39	-0.06	-0.34	-0.32	 0.06	 0.40	-0.79	-0.18	 0.60	 0.41	-1.03	-0.14	-0.51	-0.97	-1.12	-1.22	-1.89	-1.74
YPL167C	-0.15	-0.18	-0.18	 0.16	-0.36	-0.54	-0.38	 0.08	-0.14	-0.15	-0.23	-0.22	-0.38	-0.49	-0.22	-0.34	-0.22	-0.15	 0.04	-0.07	-0.09	 0.25	 0.34	 0.15	 0.18	 0.25	-0.10	-0.14	 0.06	 0.26	-0.18	 0.03	-0.32	 0.19	-0.14	 0.01	-0.17	 0.08	-0.20	 0.04	-0.27	-0.30	-0.49	-0.06	-0.34	-0.22	-0.36	-0.30	-0.14	-0.56	-0.38	-0.60	-0.67	-0.62	-0.54	-0.81	-0.51	 0.36	 0.70	-0.36	-0.49	-0.42	-0.40	-0.34	-0.01	 0.08	 0.00	-0.27	 0.06	 0.15	-0.38	-0.30	 2.09	-0.20	-0.01	 0.00	-0.34	-0.43	-0.51	-0.10
YLR058C	-0.51	 0.58	 0.67	 0.10	-0.07	-0.62	 0.30	 0.07	 0.45	 0.10	 0.04	-0.32	-0.45	-0.49	 0.03	 0.29	 0.80	 0.42	-0.49	-1.09	-0.94	-0.27	-0.04	 0.25	 0.25	 0.29	-0.12	 0.12	 0.23	-0.14	 0.51	 0.23	 1.04	 0.66	 0.86	 0.75	 0.55	 0.90	 0.97	 1.23	 0.71	 0.79	 1.14	-0.92	 0.21	-0.67	-0.18	-0.30	-0.47	-0.84	-0.06	 0.10	 0.70	 0.43	 0.62	 0.99	 0.93	-0.86	-0.97	-2.06	-0.14	-1.29	-1.79	-2.25	-2.74	-2.64	-1.18	 0.37	-1.22	 0.99	-3.64	-5.06	 0.70	 0.08	 0.26	 0.84	 0.21	 1.21	-0.94	-1.43
YKR079C	-0.34	-0.17	-1.00	-0.40	-0.45	-0.43	-0.12	-0.12	 0.04	 0.19	 0.00	 0.00	-0.18	-0.25	-0.56	-0.17	-0.45	 0.04	 0.08	 0.28	-0.49	-0.22	 0.11	-0.12	 0.30	 0.29	 0.26	 0.44	 0.07	 0.01	 0.03	-0.06	-0.40	 0.04	 0.07	-0.07	-0.25	-0.23	 0.40	 0.32	-0.14	-0.54	-0.43	-1.36	-0.29	-0.23	 0.23	 0.36	 0.14	 0.18	 0.21	-0.32	 0.26	 0.31	-0.06	-0.20	 0.23	-0.15	 0.59	-0.47	-0.09	 0.39	-0.09	 0.21	 0.18	 0.44	 0.76	-0.62	-0.36	-0.03	-0.62	 0.59	-1.22	 0.07	 0.41	 0.40	-0.27	-0.56	-0.10	-0.86
YHR200W	-0.34	-0.32	-0.25	-0.40	-0.17	-0.34	 0.20	-0.25	-0.10	 0.21	-0.30	-0.23	-0.36	-0.49	-0.23	-0.18	 0.06	-0.30	-0.43	-0.38	-0.29	-0.18	-1.12	-0.04	-0.76	-0.38	-1.36	-0.74	-0.14	-0.89	-0.18	-0.94	-0.51	-0.03	-0.22	-0.07	-2.00	 0.12	-0.67	-0.27	 0.40	 0.29	 0.43	 0.42	 0.06	 0.00	-0.40	-0.15	-0.12	-0.12	 0.48	 0.44	 0.29	 0.11	 0.32	 0.42	 0.40	-0.62	-0.51	-0.06	-0.29	 0.74	 0.45	 0.44	 0.34	-0.51	-0.79	-0.01	 0.19	-0.86	 1.01	 1.53	-0.03	 0.01	-0.27	 0.00	-0.17	-0.20	 0.31	-0.51
YML005W	 0.08	 0.04	-0.07	-0.07	-0.07	-0.27	 0.01		-0.23	-0.40	-0.45	-0.38	-0.29	-0.71	-0.49	-0.51	-0.51	-0.27	 0.37	 0.21	 0.10	 0.25	-0.56	 0.20	-0.30	 0.28	-0.54	-1.25	 0.32	-0.58	-0.03	-1.06	-0.40	 0.03	-0.38	 0.04	-0.45	 0.19	-0.43	-0.32	 0.14	 0.03	 0.28	 0.32	-0.56	-0.40	-0.67	-0.45	-0.45	-0.69	-0.56	-0.22	-0.47	-0.42	-0.45	-0.30	-0.01	-0.42	-0.15	 0.10	-0.56	 0.48	 0.00	-0.92	-1.09	-0.30	 0.29	 0.66	-0.79	 0.82	-0.47	-0.62	-0.64	-0.34	-0.49	-0.51	-0.32	-0.34	-0.32	-0.84
YLL026W	 0.24	 0.70	 0.98	 0.62	 0.37	 0.03	-0.04	 0.01	 0.07	-0.25	 0.62	-0.01	-0.18	-0.40	 0.32	 0.37	-0.60	-0.58	-1.43	-2.18	-1.94	-1.36	-2.25	-1.51	-2.32	-1.69	-2.00	 0.86	-0.92	-1.64	-1.29	-1.32	-0.76	-0.71	-1.15	-0.23	-0.54	-0.01	-0.06	-0.04	 1.38	 0.89	 1.02	 1.95	 0.24	-0.04	-0.18	-1.60	-1.51	-1.32	-0.92	-0.17	-0.76	-1.00	 0.14	 0.33	 0.01	-0.14		 1.58	 0.06	-1.74	-2.74	-2.94	-3.84	-3.84	-3.32	 0.29	-1.32	-0.76	-1.03	-1.32	 0.99	 0.01	 0.01	-0.18	 0.84	 0.99	 2.40	 2.68
YPR199C	 0.04	-0.01	 0.15	-0.12	-0.10	 0.14	-0.04	 0.06		-0.25	-0.04	-0.29	-0.10	-0.62	-0.15	-0.15	 0.14	-0.30	 0.20	 0.18	 0.25	 0.34	-0.20	 0.28	-0.34	 0.40	-0.74	-0.97	 0.40	-0.18	 0.31	-0.32	-0.06	 0.40	 0.21	 0.36	 0.00	 0.19	-0.38	 0.20	 0.36	 0.26	 0.25	 0.82	-0.12	 0.11	 0.36	 0.12	-0.17	-0.09	-0.15	-0.49	-0.36	-0.06	-0.17	-0.36	-0.23	 0.12	 0.30	-0.12	-0.30	-0.56	-0.62	-0.47	-0.67	-0.34	-0.56	-0.62	-0.23	 0.03	-0.14	-0.22	-0.67	 0.00	 0.25	-0.15	-0.20	-0.18	 0.75	-0.23
YER190W	-0.36	-0.14	 1.18	 0.84	 0.20	-0.23	-0.64	-0.14	 0.10	 0.10		 0.82	 0.24	 0.07	 0.20	 0.39	-0.54	-0.25	 0.12	 0.51	-0.23	-0.54	-0.86	-0.69	-0.92	-0.14	-0.06	-0.29	 1.05	 0.86	 0.67	 0.38	 0.93	 0.06	-1.25	-0.60	-1.60	-0.62	-0.47	-0.09	 0.04	-0.03	-0.29	-0.84	-0.49	 0.03	 0.10	 0.18	 0.31	 0.37	 0.29	 0.21	 0.18	-0.14	-0.14	 0.16	 0.32	 1.10	 0.83	 0.24	-0.12	 0.42	 0.66	 0.34	-0.18	-0.32	-0.25	 0.36	-0.15	-0.47	 1.07	 0.42	 0.29	 0.03	 0.04	 0.00	-0.20	-0.36	-0.76	-0.32
YKL047W	-0.25	-0.29	-0.38	-0.23	-0.17	-0.06	-0.03	-0.20	-0.10	-0.07	-0.29	-0.27	-0.07	-0.45	-0.04	-0.23	 0.24	-0.29	 0.04	 0.18	 0.18	-0.04	-1.00	-0.09	-0.86	-0.07	-1.15	-0.43	-0.17	-0.71	-0.34	-0.76	-0.30	-0.49	-0.71	-0.07	-1.03	-0.06	-0.71	-0.38	 0.04	-0.23	-0.06	-0.32	 0.03	-0.04	-0.23	 0.20	-0.22	 0.06	-0.14	-0.09	-0.27	 0.12	-0.25	-0.36	-0.34	-0.17	 0.04	-0.20	-0.54	-0.20	 0.03	 0.59	 0.64	 0.04	-0.07	-0.60	-0.42	-1.06	 1.17	 1.64	-1.12	 0.08	 0.00	 0.12	-0.25	-0.27	 0.21	-0.58
YBR102C	-0.36	-0.47	-0.29	-0.40	-0.29	-0.36	-0.14	 0.10	-0.01	-0.01	-0.15	-0.01	-0.18	-0.03	-0.29	 0.16	-0.01	 0.01	-0.18	 0.03	-0.09	 0.98	 0.20	-0.56	 0.54	 0.71	 0.23	 0.28	-0.27	-0.17	 0.49	 0.11	-0.56	 1.59	 0.59	-0.74	 0.70	-0.81	 0.41	 1.28	-0.69	-0.40	-0.56	-0.07	-0.54	-0.30	 0.07	 0.06	-0.20	-0.12	-0.20	-0.15	 0.16	-0.42	 0.30	-0.07	 0.01	-0.30	-0.27	-0.06	 0.00	 0.08	-0.42	-0.54	-1.18	-0.79	-1.18	 0.24	-0.67	-0.89	-0.06	 0.29	-0.67	-0.71	-0.29	 0.28	-0.27	-0.49	 0.42	 0.19
YMR320W	-0.10	-0.12	-0.23	-0.38	-0.06	-0.04	 0.00	-0.22	-0.20	-0.18	-0.43	-0.17	 0.00	-0.43	-0.18	-0.40	-0.22	-0.17	 0.73	 0.38	 0.04	-0.36	 0.00	-0.36	 0.24	-0.03	 0.25	-0.06	 0.56	-0.15	-0.56	 0.03	-0.81	-0.10	 0.44	 0.00	 0.32	 0.04	 0.40	 0.49	-0.23	-0.09	-0.40	 0.12	-0.43	-0.34	-0.60	-0.49	-0.15	-0.49	-0.22	-0.14	-0.43	-0.12	-0.32	 0.23	-0.36	 0.24	 1.29	-0.06	-0.74	-0.09	-0.76	-0.51	-0.43	-0.38	-0.49	-0.18	-0.32	-0.30	-0.47	-0.74	-0.12	-0.14	 0.03	 0.07	-0.18	-0.29	-0.03	-0.10
YIL089W		-0.29	 0.38	-0.07	 0.03	-0.17	 0.29	 0.16	 0.08	-0.10	-0.10	-0.30	-0.22	-0.18	-0.10	-0.12	 0.24	-0.42	-0.07	 0.03	-0.15	-0.17	 0.01	-0.25	-0.03	-0.03	-0.03	 0.14	-0.22	-0.38	 0.68	-0.01	-0.67	-0.36	 0.10	-0.04	 0.40	-0.03	 0.43	 0.18	 0.11	-0.25	-0.30	-0.15	-0.47	-0.36	-0.79	-0.15	-0.67	-0.29	-0.60	-0.45	-0.47	-0.10	-0.67	-0.43	-0.56	 0.03	 0.58	-0.47	-0.74	-0.29	-0.22	-0.51	-0.56	-0.36	-0.67	 0.14	-0.64	-0.47	 0.15	 0.32	 0.00	-0.17	-0.34	-0.22	-0.10	-0.12	 0.31	 0.16
YLR341W	 0.06	-0.38	 0.07	-0.04	 0.23	-0.15	-0.15	-0.27	-0.04	-0.27	 0.67	-0.29	 0.06	-0.18	 0.20	 0.16	-0.25	-0.23	 0.03	 0.28	 0.06	-0.14	 0.48	-0.29	 0.59	-0.07	 0.45	-0.18	 0.15	 0.26	-0.30	 0.33	-0.97	-0.12	 0.74	-0.71	 1.34	-0.01	 0.64	 0.54	-0.76	-0.45	-0.56	-0.60	-0.60	 0.08	-0.01	 0.18	-0.12	-0.06	 0.06	-0.07	-0.01	-0.54	-0.45	-0.47	-0.58	-0.84	 0.18	-0.23	-0.06	-0.43	-0.04	 3.10	 4.73	 3.69	 5.12	-4.06	 1.49	 1.39	 0.06	 0.49	 3.51	-0.30	-0.06	 0.76	 0.19	-0.25	 0.45	 0.15
YHR201C	 0.10	-0.40	-0.49	-0.47	-0.22	-0.43	 0.07	-0.18	-0.20	-0.25	-0.42	-0.36	-0.07	-0.54	-0.25	-0.32	 0.06	-0.23	 0.00	-0.03	-0.06	-0.15	-0.64	-0.09	-0.49	-0.15	-0.94	-0.01	 0.01	-0.92	 0.07	-0.84	-0.97	-0.17	-0.62	-0.07	-0.69	 0.04	-0.84	-0.64	 0.44	 0.21	 0.44	-0.15	-0.03	-0.18	-0.47	-0.45	-0.36	-0.42	-0.06	-0.01	-0.07	-0.14	-0.04	-0.03	-0.20	-0.03	 0.28	-0.34	-0.60	-0.34	 0.18	-0.03	-0.22	-0.18	-0.60	-0.09	-0.34	-0.43	-0.45	-0.64	-0.20	 0.11	 0.26	 0.07	-0.20	 0.08	 0.15	-0.69
YML006C	 0.01	-0.58	-0.30	-0.30	 0.15	 0.40	 0.26	-0.06	-0.09	-0.30	-0.23	-0.34	-0.14	-0.12	-0.17	-0.20	 0.00	-0.14	 0.41	 0.52	 0.57	 0.58	-0.01	 0.48	-0.27	 0.30	-0.49	-0.01	 0.38	-0.40	 0.18	-0.40	-0.56	 0.25	-0.54	 0.37	 1.39	 0.16	-0.54	-0.60	-0.25	 0.16	 0.03	-0.43	-0.34	-0.07	-0.49	-0.18	-0.20	-0.15	-0.38	-0.25	-0.34	-0.42	-0.40	-0.76	-0.86	 0.28	 1.23	-0.38	-0.29	 0.42	 0.36	-0.38	-0.84	-0.89	-0.62	 0.57	-0.92	-0.32	-0.20	-1.06	-0.92	 0.11	 0.30	 0.30	 0.03	-0.01	 0.00	-0.40
YKL048C	-0.10	-0.76	-0.25	-0.29	 0.30	 0.30	 0.24	-0.22	-0.12	-0.14	 0.28	-0.36	-0.20	-0.20	 0.11	 0.21	 0.08	-0.32	-0.38	 0.00	 0.54	 0.66	 0.12	 0.28	-0.14	-0.20	-0.86	-0.84	-0.14	-0.69	 0.30	-0.30	-0.30	 0.33	 0.28	 0.63	 0.14	 0.10	-0.34	-0.51	-0.07	-0.14	 0.01	-0.71	-0.89	-0.69	-0.76	-0.27	-0.79	-0.60	-0.36	-0.10	-0.34	-0.25	-0.34	-0.51	-0.67	 0.42	 0.71	-0.34	-0.76	-0.18	 0.33	 0.70	 0.36	 0.24	-0.54	-0.69	-0.30	-0.56	 0.53	 0.58	 0.14	-0.15	-0.10	-0.06	-0.58	-0.09	-0.23	-0.18
YMR321C	 0.23	-0.49	 0.24	-0.04	 0.26	-0.40	 0.06	-0.23	 0.21	-0.14	 0.39	-0.18	 0.07	-0.18	 0.46	-0.23	 0.24	-0.40	-0.18	-0.04	 0.11	-0.42	 0.46	-0.54	 0.63	-0.42	-0.15	-0.07	-0.69	-0.32	 0.62	-0.23	-1.15	-0.40	 0.61	-1.47	 0.55	-0.92	 0.46	 1.29	-0.94	 0.21	-0.38	-1.00	-0.76	-0.40	-0.45	-0.07	-0.29	-0.27	-0.23	-0.36	-0.22	-0.40	-0.32	-0.47	-0.49	-0.34	 1.08	-0.74	-0.49	-0.36	-1.18	-0.84	-0.07	-0.23	-0.34	-0.34	 0.00	-0.12	-1.25	-1.74	-0.79	-0.04	-0.15	-0.22	-0.47	-0.38	-1.36	-1.74
YJL069C	-0.10	-0.94	-0.60	-0.29	 0.01	-0.12	-0.20	 0.29	 0.18	-0.34	 0.26	-0.27	-0.06	-0.12	-0.20	 0.34	-0.36	-0.43	 1.06	 0.70	 0.28	 0.14	-0.27	 0.39	-0.15	 0.36	-0.30	-0.17	 0.23	-0.49	-0.06	-0.74	-0.36	-0.09	-0.43	 0.28	 0.30	 0.07	-0.04	-1.22	-0.14	-0.54	-0.32	-1.09	-0.74	-0.25	 0.34	 0.44	 0.37	-0.30	-0.20	-0.51	-0.17	-0.47	-0.81	-0.43	-0.47	-0.07	 0.45	 0.01	 0.37	-1.00	-1.18	-0.40	-0.47	-0.23	-0.10	-1.29	-0.29	 0.25	-2.64	-2.64	-0.42	 0.38	 0.16	 0.18	-0.89	-0.81	-1.22	-1.12
YLR415C	 0.04	 0.01	 0.12	-0.32	-0.22	-0.04	-0.18	-0.22	-0.18	-0.14	-0.32	-0.18	-0.07	-0.38	-0.34	-0.10	-0.20	-0.09	-0.97	-0.40	-0.45	-0.79	-0.06	-0.64	 0.20	-1.06	 0.15	 0.19	-0.81	-0.34	-0.40	-0.76	-1.51	-0.86	 0.60	-0.49	 0.42	-0.27	 0.41	 0.43	-1.69	-0.67	-1.12	 0.10	-0.47	-0.17	-0.17	-0.20	-0.25	-0.30	-0.49	-0.30	-0.43	-0.22	-0.29	-0.23	-0.43	-0.10	 0.58	 0.07	-0.51	-0.15	-0.40	-0.43	-0.81	-1.00	-0.89	-0.36	-0.47	-0.64	-0.45	-0.69	 0.36	-0.25	-0.30	-0.03	-0.54	-0.01	-0.47	 1.40
YPL095C	-0.10	-0.10	-0.20		-0.20	-0.49	-0.17	-0.45	-0.23	-0.40	-0.40	-0.51	 0.01	-0.27	-0.40	-0.64	-0.56	-0.34	-0.01	-0.09	-0.49	 0.23	 0.34	 0.61	 0.90	 0.96	 0.92	 0.30	 0.36	 0.11	 0.15	-0.03	-0.36	-0.14	 0.87	 0.56		 0.49	 1.24	 0.96	 0.00	 0.23	 0.00	-0.23	-0.12	 0.04	-0.18	-0.38	-0.43	-0.18	-0.34	-0.32	-0.27	-0.51	-0.10	-0.36	-0.22	 0.25	 0.42	-0.03	-0.30	 0.03	-0.14	-0.54	-0.36	-0.27	-0.60	 0.19	-0.23	-0.51	-0.04	 0.42	 0.49	-0.07	-0.07	 0.55	 0.04	-0.30	 0.53	 0.48
YMR038C	-0.23	-0.76	-0.45	-0.71	-0.47	-0.36	 0.08	-0.40	-0.07	-0.20	-0.22	-0.29	-0.22	-0.71	-0.20	-0.47	-0.14	-0.49	 0.14	 0.00	-0.12	-0.29	-0.49	-0.10	-0.62	-0.15	-0.81	-0.15	-0.07	-0.86	-0.22	-0.94	-0.43	-0.56	-0.74	-0.12	-0.49	-0.04	-1.03	-0.43	 0.23	 0.03	 0.25	-0.43	 0.19	-0.17	-0.23	-0.23	-0.25	-0.47	-0.12	 0.08	-0.15	-0.43	 0.10	 0.30	 0.00	-0.74	-0.49	-0.54	-0.27	-0.25	 0.10	-0.64	-0.89	-0.76	-0.84	 0.62	-0.49	 0.14	-0.25	-0.38	-0.38	 0.00	-0.09	-0.03	-0.07	 0.07	-0.06	-1.18
